,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
47,HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,4.8,E,Estimated value
48,ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.4,E,Estimated value
49,IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.2,E,Estimated value
50,ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,1.1,E,Estimated value
51,JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,6.4,E,Estimated value
52,KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,4.2,E,Estimated value
53,LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.1,E,Estimated value
54,MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,4.2,E,Estimated value
55,NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.0,E,Estimated value
56,NZL,New Zealand,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.2,E,Estimated value
57,NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.3,E,Estimated value
58,POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,3.2,E,Estimated value
59,PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.9,E,Estimated value
60,SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.6,E,Estimated value
61,ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.1,E,Estimated value
62,SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.0,E,Estimated value
63,CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.0,E,Estimated value
64,TUR,Turkey,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,12.7,E,Estimated value
65,GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.2,E,Estimated value
66,USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.1,E,Estimated value
67,BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,6.7,E,Estimated value
68,CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,9.4,E,Estimated value
69,EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,8.1,E,Estimated value
70,ISR,Israel,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,3.7,E,Estimated value
71,RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,15.1,E,Estimated value
72,SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.5,E,Estimated value
73,AUS,Australia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,1.1,E,Estimated value
74,AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,1.0,E,Estimated value
75,BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,2.0,E,Estimated value
76,CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.2,E,Estimated value
77,CZE,Czech Republic,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.9,E,Estimated value
78,DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.9,E,Estimated value
79,FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.6,E,Estimated value
80,FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.5,E,Estimated value
81,DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.1,E,Estimated value
82,GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.7,E,Estimated value
83,HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,4.8,E,Estimated value
84,ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.4,E,Estimated value
85,IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.2,E,Estimated value
86,ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,1.1,E,Estimated value
87,JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,6.4,E,Estimated value
88,KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,4.2,E,Estimated value
89,LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.1,E,Estimated value
90,MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,4.2,E,Estimated value
91,NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.0,E,Estimated value
92,NZL,New Zealand,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.2,E,Estimated value
93,NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.3,E,Estimated value
94,POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,3.2,E,Estimated value
95,PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.9,E,Estimated value
96,SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.6,E,Estimated value
97,ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.1,E,Estimated value
98,SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.0,E,Estimated value
99,CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.0,E,Estimated value
100,TUR,Turkey,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,12.7,E,Estimated value
101,GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.2,E,Estimated value
102,USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.1,E,Estimated value
103,BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,6.7,E,Estimated value
104,CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,9.4,E,Estimated value
105,EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,8.1,E,Estimated value
106,ISR,Israel,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,3.7,E,Estimated value
107,RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,15.1,E,Estimated value
108,SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,PC,Percentage,0,units,,,0.5,E,Estimated value
109,AUS,Australia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,20.0,,
110,AUT,Austria,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
111,BEL,Belgium,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
112,CAN,Canada,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
113,CZE,Czech Republic,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,26.0,,
114,DNK,Denmark,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,24.0,,
115,FIN,Finland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,22.0,,
116,FRA,France,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
117,DEU,Germany,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
118,GRC,Greece,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,25.0,,
119,HUN,Hungary,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,20.0,,
120,ISL,Iceland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,24.0,E,Estimated value
121,IRL,Ireland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,19.0,,
122,ITA,Italy,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,24.0,,
123,JPN,Japan,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,22.0,,
124,KOR,Korea,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,16.0,,
125,LUX,Luxembourg,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,E,Estimated value
126,MEX,Mexico,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,,
127,NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,19.0,,
128,NZL,New Zealand,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,23.0,E,Estimated value
129,NOR,Norway,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,17.0,,
130,POL,Poland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,E,Estimated value
131,PRT,Portugal,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,19.0,,
132,SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,26.0,,
133,ESP,Spain,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,22.0,,
134,SWE,Sweden,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,20.0,,
135,CHE,Switzerland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,22.0,,
136,TUR,Turkey,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,E,Estimated value
137,GBR,United Kingdom,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,23.0,,
138,USA,United States,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,18.0,,
139,BRA,Brazil,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,E,Estimated value
140,CHL,Chile,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,18.0,,
141,EST,Estonia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,19.0,,
142,ISR,Israel,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,21.0,E,Estimated value
143,RUS,Russia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,11.0,,
144,SVN,Slovenia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,20.0,,
145,OECD,OECD - Total,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,units,,,18.0,,
146,AUS,Australia,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,20.0,E,Estimated value
147,AUT,Austria,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
148,BEL,Belgium,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
149,CAN,Canada,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
150,CZE,Czech Republic,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,26.0,E,Estimated value
151,DNK,Denmark,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,24.0,E,Estimated value
152,FIN,Finland,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,22.0,E,Estimated value
153,FRA,France,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
154,DEU,Germany,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
155,GRC,Greece,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,25.0,E,Estimated value
156,HUN,Hungary,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,20.0,E,Estimated value
157,ISL,Iceland,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,24.0,E,Estimated value
158,IRL,Ireland,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,19.0,E,Estimated value
159,ITA,Italy,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,24.0,E,Estimated value
160,JPN,Japan,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,22.0,E,Estimated value
161,KOR,Korea,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,16.0,E,Estimated value
162,LUX,Luxembourg,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
163,MEX,Mexico,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
164,NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,19.0,E,Estimated value
165,NZL,New Zealand,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,23.0,E,Estimated value
166,NOR,Norway,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,17.0,E,Estimated value
167,POL,Poland,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
168,PRT,Portugal,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,19.0,E,Estimated value
169,SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,26.0,E,Estimated value
170,ESP,Spain,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,22.0,E,Estimated value
171,SWE,Sweden,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,20.0,E,Estimated value
172,CHE,Switzerland,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,22.0,E,Estimated value
173,TUR,Turkey,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
174,GBR,United Kingdom,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,23.0,E,Estimated value
175,USA,United States,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,18.0,E,Estimated value
176,BRA,Brazil,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
177,CHL,Chile,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,18.0,E,Estimated value
178,EST,Estonia,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,19.0,E,Estimated value
179,ISR,Israel,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,21.0,E,Estimated value
180,RUS,Russia,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,11.0,E,Estimated value
181,SVN,Slovenia,HO_HISH,Housing expenditure,L,Value,MN,Men,PC,Percentage,0,units,,,20.0,E,Estimated value
182,AUS,Australia,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,20.0,E,Estimated value
183,AUT,Austria,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
184,BEL,Belgium,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
185,CAN,Canada,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
186,CZE,Czech Republic,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,26.0,E,Estimated value
187,DNK,Denmark,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,24.0,E,Estimated value
188,FIN,Finland,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,22.0,E,Estimated value
189,FRA,France,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
190,DEU,Germany,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
191,GRC,Greece,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,25.0,E,Estimated value
192,HUN,Hungary,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,20.0,E,Estimated value
193,ISL,Iceland,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,24.0,E,Estimated value
194,IRL,Ireland,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,19.0,E,Estimated value
195,ITA,Italy,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,24.0,E,Estimated value
196,JPN,Japan,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,22.0,E,Estimated value
197,KOR,Korea,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,16.0,E,Estimated value
198,LUX,Luxembourg,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
199,MEX,Mexico,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
200,NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,19.0,E,Estimated value
201,NZL,New Zealand,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,23.0,E,Estimated value
202,NOR,Norway,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,17.0,E,Estimated value
203,POL,Poland,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
204,PRT,Portugal,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,19.0,E,Estimated value
205,SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,26.0,E,Estimated value
206,ESP,Spain,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,22.0,E,Estimated value
207,SWE,Sweden,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,20.0,E,Estimated value
208,CHE,Switzerland,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,22.0,E,Estimated value
209,TUR,Turkey,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
210,GBR,United Kingdom,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,23.0,E,Estimated value
211,USA,United States,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,18.0,E,Estimated value
212,BRA,Brazil,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
213,CHL,Chile,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,18.0,E,Estimated value
214,EST,Estonia,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,19.0,E,Estimated value
215,ISR,Israel,HO_HISH,Housing expenditure,L,Value,WMN,Women,PC,Percentage,0,units,,,21.0,E,Estimated value
